(('company', 'CiscoSolutions'), 'handles', ('data', 'PersonalData'), 0.5)
(('company', 'CiscoSolutions'), 'collects', ('data', 'PersonalData'), 0.5)
(('company', 'CiscoSolutions'), 'processes', ('data', 'PersonalData'), 0.5)
(('company', 'CiscoSolutions'), 'uses', ('data', 'PersonalData'), 0.5)
(('privacyPolicy', 'CiscoPrivacyStatement'), 'appliesTo', ('company', 'CiscoSolutions'), 0.5)
(('privacyPolicy', 'CiscoPrivacyStatement'), 'appliesTo', ('website', 'CiscoWebsites'), 0.5)
(('company', 'CiscoSolutions'), 'provides', ('document', 'privacyDataSheets'), 0.5)
(('company', 'CiscoSolutions'), 'provides', ('document', 'privacyDataMaps'), 0.5)
(('company', 'CiscoSolutions'), 'provides', ('document', 'dataCollectionNotices'), 0.5)
(('company', 'CiscoSolutions'), 'includes', ('product', 'products'), 0.5)
(('company', 'CiscoSolutions'), 'includes', ('service', 'services'), 0.5)
(('data', 'PersonalData'), 'includes', ('dataField', 'name'), 0.5)
(('data', 'PersonalData'), 'includes', ('dataField', 'address'), 0.5)
(('data', 'PersonalData'), 'includes', ('dataField', 'emailAddress'), 0.5)
(('data', 'PersonalData'), 'includes', ('dataField', 'phoneNumber'), 0.5)
(('data', 'PersonalData'), 'includes', ('credential', 'loginCredentials'), 0.5)
(('credential', 'loginCredentials'), 'includes', ('credentialField', 'accountNumber'), 0.5)
(('credential', 'loginCredentials'), 'includes', ('credentialField', 'password'), 0.5)
(('data', 'PersonalData'), 'includes', ('dataField', 'socialMediaAccountInformation'), 0.5)
(('data', 'PersonalData'), 'includes', ('financialData', 'paymentCardNumber'), 0.5)
(('data', 'PersonalData'), 'includes', ('dataField', 'accountInformation'), 0.5)
(('data', 'PersonalData'), 'includes', ('dataField', 'contacts'), 0.5)
(('data', 'PersonalData'), 'includes', ('dataField', 'subscriptions'), 0.5)
(('data', 'PersonalData'), 'includes', ('dataField', 'visitInformation'), 0.5)
(('data', 'PersonalData'), 'includes', ('dataField', 'eventRegistrationDetails'), 0.5)
(('data', 'PersonalData'), 'includes', ('identifier', 'onlineIdentifiers'), 0.5)
(('data', 'PersonalData'), 'includes', ('data', 'communicationsContent'), 0.5)
(('data', 'communicationsContent'), 'includes', ('mediaType', 'audio'), 0.5)
(('data', 'communicationsContent'), 'includes', ('mediaType', 'video'), 0.5)
(('data', 'communicationsContent'), 'includes', ('mediaType', 'text'), 0.5)
(('data', 'PersonalData'), 'includes', ('financialData', 'financialInformation'), 0.5)
(('financialData', 'financialInformation'), 'includes', ('financialData', 'bankAccountDetails'), 0.5)
(('financialData', 'financialInformation'), 'includes', ('financialData', 'creditCardInformation'), 0.5)
(('data', 'PersonalData'), 'includes', ('behaviorData', 'userBehaviorData'), 0.5)
(('data', 'PersonalData'), 'includes', ('identifier', 'deviceIdentifiers'), 0.5)
(('data', 'PersonalData'), 'includes', ('telemetry', 'telemetryData'), 0.5)
(('telemetry', 'telemetryData'), 'includes', ('networkIdentifier', 'IPAddress'), 0.5)
(('telemetry', 'telemetryData'), 'includes', ('networkIdentifier', 'MACAddress'), 0.5)
(('data', 'linkedData'), 'treatedAs', ('data', 'PersonalData'), 0.5)
(('website', 'CiscoWebsites'), 'collects', ('data', 'PersonalData'), 0.5)
(('website', 'CiscoWebsites'), 'collects', ('usageData', 'usageData'), 0.5)
(('company', 'CiscoSolutions'), 'collects', ('systemData', 'systemInformation'), 0.5)
